"Headlines:","Date:"
"The couple were introduced by the bride’s father and met at Franklin & Marshall College, from which they graduated.","2019/04/07"
"Wilson Cruz, a co-star in the new Hulu animated children's series ""The Bravest Knight,"" describes the show's dad couple this way: ""We're not explaining homosexuality, or same-gender sexuality. We're talking about the love of a family.""","aponline/2"
"Atentados en Sri Lanka, Amazonas contra Amazon, buena memoria: lo que está sucediendo en América Latina y el mundo.","es/2019/04"
"An Oscar-nominated documentary set in rural Alabama is on PBS. And the crime series “White Dragon” is available to stream on Amazon.","2019/02/11"
"Six years ago the New York City mayor was one of the most important voices of the progressive left. Now he may be a liability.","2019/03/01"
"It took a human wrecking ball to get China’s attention.","2019/05/21"
"Here’s what you need to know.","2019/06/03"
"Jeff Bezos announced on Twitter that his company had made its first automated shipment, a two-mile, 13-minute trip to a shopper in Cambridgeshire.","2016/12/14"
"Citing American’s free speech protections, the administration said it would not endorse the ‘Christchurch Call,’ which urges major online platforms to eradicate violent and extremist content.","2019/05/15"
"Let’s not let artificial intelligence put society on autopilot.","2019/03/12"
