"Headlines:","Date:"
"Amazon officially announced that it will put a major corporate outpost in the New York neighborhood of Long Island City. Here is what the Queens enclave has to offer the tech giant.","video/us/1"
"Amazon said its Whole Foods stores would let customers order groceries online and pick them up in person. Walmart already offers that service at nearly 1,800 stores.","2018/08/08"
"The tech giant is said to have settled on Long Island City in Queens as one of two locations to house some 50,000 employees. The other is in Virginia.","2018/11/05"
"A preview of the film.","video/embe"
"As Amazon continues its search for its second headquarters, some city officials wonder what was offered and how much it will cost taxpayers.","2018/08/05"
"Thursday: A messy afternoon storm and a lottery player’s plans.","2018/11/15"
"The new anthology from the creator of “Mad Men” has moments of wonder amid sluggish storytelling.","2018/10/11"
"The follow-up to an Emmy-winning first season looks fantastic and hasn’t lost a beat, but its core story repeats itself.","2018/12/03"
"A British mini-series on Amazon Prime Video centers on a son of Pakistani immigrants whose wit, charm and courage make him a superior snitch.","2019/01/10"
"The Brazilian government’s indigenous affairs agency released footage of the man in Rondônia. The agency said that he is the sole surviving member of his tribe after the rest were attacked over 20 years ago.","video/worl"
