"Headlines:","Date:"
"Every month, subscription streaming services add a new batch of movies and TV shows to their libraries. Here are the titles we think are most interesting for July.","2018/07/01"
"Amazon said that starting Monday, Whole Foods will offer lower prices on a “selection of best-selling staples across its stores, with much more to come.”","2017/08/24"
"A software engineer, facing federal charges in Seattle, was accused of gaining access to 140,000 Social Security numbers and 80,000 bank account numbers.","2019/07/29"
"Here’s what you need to know to start your day.","2017/12/05"
"This week’s Canada Letter, which is for and about Canada and Canadians, looks at the underwater hunt for traces of a Cold War fighter.","2017/09/15"
"Here’s what you need to know at the end of the day.","2018/01/18"
"Choose between a “Daredevil” spinoff, a comedy starring Jenny Slate, a tender romantic drama and more this weekend.","2017/11/16"
"Britain’s National Health Service has collaborated with Amazon to offer health information through Alexa, prompting questions about privacy and market advantage.","2019/07/10"
"U.S. Senator Mark Warner on Friday raised concerns over the Pentagon's decision to put on hold a $10 billion cloud computing contract after President Donald Trump said his administration was examining Amazon.com Inc's bid following complaints from...","reuters/20"
"Everyone likes to complain about our company-based system, but there have been real examples of innovation.","2018/02/01"
