"Headlines:","Date:"
"A beloved 1990s movie gets a new TV adaptation on BET. And an absurd anthology series debuts on TBS.","2019/02/12"
"Privacy concerns caused the computerized eyewear to fail with the general public. But researchers believe it could help autistic children learn to recognize emotion and make eye contact.","2019/07/17"
"Very little escapes scrutiny from witty online commentators.","2018/11/22"
"The e-commerce giant has big plans to use autonomous aircraft to deliver packages, and is testing the devices in rural England. We went to find them.","2016/10/02"
"Did you stay up to date this week?","interactiv"
"Rami Malek struts his stuff as Freddie Mercury, and Idris Elba narrates an immersive wildlife documentary about Africa.","2019/07/06"
"Amazon appears to be leaning toward opening a new office in New York. Now word comes that Google, already a big employer in the city, may add on.","2018/11/07"
"Trump imposes new tariffs.","2019/08/01"
"In an online post, the chief executive of Amazon said the tabloid’s owner had used “extortion and blackmail” to try to stop his investigation into leaked photos and text messages.","2019/02/07"
"A crime drama starring Carla Gugino airs on Cinemax and the second season of the animated series featuring Retsuko the Red Panda returns to Netflix.","2019/06/14"
