"Headlines:","Date:"
"The president’s commentary, made in a Twitter post, comes amid reports that Mr. Trump has expressed an interest in reining in the e-commerce business.","2018/03/29"
"Some of the most celebrated chefs in the Andes ventured deep into the Amazon on a quest for exotic ingredients. If the river turtle is too gooey, try the caiman.","2018/11/04"
"The president calls the paper, which is owned by Amazon’s chief executive, Jeff Bezos, “a lobbyist weapon,” among other things. “There isn’t anybody here who is paid by Amazon,” the editor, Martin Baron, said.","2018/04/02"
"The holiday season is in full swing. As you gather with family and loved ones, this month’s roundup highlights TV shows and movies for all to enjoy.","2018/12/01"
"Walmart’s deal for Flipkart, one of the largest and riskiest in its history, follows a pattern of purchases over the past 18 months as it expands its footprint beyond box stores.","interactiv"
"The company also said it would raise the price of its popular Prime membership service to $119 from $99.","2018/04/26"
"Booksellers on the online marketplace are charging thousands for books that normally sell for a few dollars. Authors are perplexed — and annoyed.","2018/07/15"
"The technology inside Amazon’s new convenience store, opening Monday in downtown Seattle, enables a shopping experience like no other — including no checkout lines. ","2018/01/21"
"His administration has come down on opposite sides of arguments about whether to enact internet sales taxes.","2018/05/10"
"It has been six months since Amazon took over Whole Foods for $13.4 billion. Here are a handful of notable changes Amazon has made to Whole Foods so far. ","2018/03/01"
