"Headlines:","Date:"
"Here’s what you need to know to start your day.","2018/09/05"
"Friday: Tech giants talk expansion, and two columnists sign off.","2018/11/09"
"With a single scholarly article, Lina Khan, 29, has reframed decades of monopoly law.","2018/09/07"
"Amazon says it will offer more than a million deals, including discounts on Echo devices, kitchen appliances and more — and extend the sale by an extra six hours compared with last year. ","2018/07/17"
"Betsy Gotbaum, a former New York City public advocate, writes of “the need for major campaign finance reform at the state level.” Also: The Amazon rain forest.","2019/08/04"
"Readers view the president’s remarks as a threat to the free press and hypocritical.","2018/03/30"
"Here’s what you need to know at the end of the day.","2018/11/07"
"Here’s what you need to know to start your day.","2018/07/27"
"The Seattle City Council repealed the tax in a 7-to-2 vote that was accompanied by acrimony and accusations. Less than a month ago, it had passed unanimously.","2018/06/12"
"The Hollywood Reporter has created a two-year training program that aims to increase the number of movie and television executives of color.","2018/12/04"
