"Headlines:","Date:"
"The European Union’s antitrust chief announced an inquiry into the e-commerce giant over its use of data collected about third-party merchants.","2018/09/19"
"Amazon promises tens of thousands of new jobs, but should we expect more than that?","2018/11/12"
"The sole survivor of an isolated indigenous community in the Brazilian Amazon looks strong and vibrant in new video footage.","2018/07/20"
"The online retailer’s profits exceeded expectations but its revenues did not, leading to a muted response from Wall Street.","2018/07/26"
"Lawmakers who opposed New York’s Amazon deal are touting its collapse as a political victory, but some say this messaging may come back to haunt them.",""
"Amazon missed an opportunity to generate good will and bridge the divide between red and blue America by picking a city in the heartland.","2018/11/15"
"Many residents of Long Island City wonder whether “grandstanding politicians” and people with no roots in the community sabotaged a good thing.","2019/02/14"
"How well did you follow the news this past week? How many of these 10 questions can you get right?","interactiv"
"The Massachusetts senator, who is running for president, announced a regulatory plan aimed at breaking up large tech companies and “unwind tech mergers that illegally undermine competition.”","2019/03/08"
"The accusations by Gavin de Becker, Mr. Bezos’ longtime security consultant, are the latest twist in a bizarre situation that has also pulled in the largest U.S. tabloid publisher and The Washington Post.","2019/03/30"
