"Headlines:","Date:"
"The business would mesh nicely with the e-commerce giant, while the acquisition would show that Silicon Valley supports efforts to keep jobs at home.","2017/01/06"
"Pay-TV software maker Synamedia, supplier to Comcast's Sky and AT&T's DirecTV, believes the pay-TV market will continue to grow despite the rise of streaming services such as Netflix and Amazon Prime Video.","reuters/20"
"Even as Facebook, Google and others confronted challenges in 2018, their ambitions were undimmed. After all, so much of life remains undisrupted.","2019/01/01"
"The tech boom fueling the city’s prosperity has also filled it with building sites. Residents welcome the growth but are wary of its hazards after a crane collapse left four dead.","2019/04/28"
"A.T. White’s experimental debut feature is patient and introspective horror, anchored by a charismatic performance by Virginia Gardner.","2019/06/20"
"This word has appeared in 134 articles on NYTimes.com in the past year.","2019/04/15"
"Corrections appearing in print on Wednesday, July 31, 2019.","2019/07/30"
"Olivia Jade Giannulli, an influencer with big audiences on YouTube and Instagram, posted sponsored content about being a student.","2019/03/12"
"Noah wondered whether the jurors who found the Mexican drug kingpin guilty would be safe.","2019/02/13"
"An attempt to preserve the home of a beloved independent bookstore points to a new way to think about saving the city’s cultural heritage.","2019/01/30"
