"Headlines:","Date:"
"“Calibre,” Netflix’s Scottish thriller, is a movie you can pause, but you’re not going to want to. Damon Packard‘s films on Amazon are unsettling.","2018/07/20"
"In seeking a home for its second headquarters, Amazon winnowed a list of 238 candidates to 20 finalists, including Atlanta, Nashville and Miami.","video/us/1"
"Amazon announced on Monday that it has retained the rights to adapt J.R.R. Tolkien’s “Lord of the Rings” for television for its Prime streaming service.","2017/11/13"
"After “The Handmaid’s Tale” made it a player, Hulu has another ambitious show in “The Looming Tower.” But merger mania makes for a murky future.","2018/02/25"
"This three-part mini-series, debuting Friday on Amazon, stars Hugh Grant as a closeted British politician who conspires to murder his former lover.","2018/06/28"
"With 218 places missing the cut for Amazon’s second headquarters, cities like Ottawa and Tucson were left to absorb the same result as “the longest of long shots.”","2018/01/19"
"A month after announcing it was closing 63 stores, Walmart’s warehouse club said it would offer free shipping on almost all items for a $100 annual fee.","2018/02/14"
"Thousands of Indian sellers have shipped bedding, jewelry, kitchenware and clothing to Amazon warehouses to serve bargain-hunting Americans.","2017/11/26"
"The studio canceled “One Mississippi,” “I Love Dick” and “Jean-Claude Van Johnson” and will turn its focus to a “Lord of the Rings” adaptation.","2018/01/18"
"Amazon doesn’t have a plan to fix health care, but it loves that we’re talking about it. Facebook has a plan to fix the social network, but people may spend less time on it.","2018/02/02"
