"Headlines:","Date:"
"The online retail giant is taking advantage of what it knows better than anyone: consumers’ online shopping habits.","2019/01/20"
"The tech giant put “too much focus” on art-house fare, said Jennifer Salke, the head of Amazon Studios. It will now focus more on films for a broader audience, including “sexy date-night movies.”","2019/02/18"
"Candidates like Elizabeth Warren and Bernie Sanders were quick to praise New Yorkers who rebelled at the idea of giving tax breaks to a huge corporation.","2019/02/16"
"Allen says the streaming service improperly canceled a four-movie contract because of a renewed focus on sexual abuse allegations he has long denied.","2019/02/07"
"New York was riveted by a debate over incentives offered to Amazon to build a headquarters. But Hudson Yards, the huge office and luxury residential development in Manhattan, has received far more.","2019/03/09"
"A years-long battle over control of the domain name, which included promises of free Kindles, may soon be decided.","2019/04/18"
"The clash has consequences beyond New York, going to the heart of a national debate likely to dominate the 2020 election: What is the best way to spread prosperity?","2019/02/16"
"Low-income workers seem to want Amazon in New York more than elites do. Amazon should figure out how to give them what they really need.","2019/02/13"
"Every month, subscription streaming services add a new batch of titles to their libraries. Here are the ones we think are most interesting for July.","2019/07/01"
"It isn’t just size. Unlike many big American companies, Amazon is not squandering its profits on stock buybacks.","2018/11/19"
