"Headlines:","Date:"
"The internet retailer agreed to pay about $50 million for the streaming rights to 10 games, according to a person briefed on the deal.","2017/04/04"
"Brazilian President Jair Bolsonaro on Monday said there was no evidence an indigenous chief, whose death was decried by the U.N. commissioner for human rights, was killed by wildcat miners said to have invaded protected tribal lands. ","reuters/20"
"The authorities said the smart home device made an emergency call, but Amazon and a 911 official said that was not plausible.","2017/07/11"
"A hacker accessed the personal information of 106 million Capital One credit card holders or credit card applicants in the U.S. and Canada, in the latest massive data breach at a large company.","aponline/2"
"Amazon says it’s not responsible if its creations are abused.","2019/06/19"
"The company is introducing voice and video calling with the Echo, the device that is powered by Alexa, its voice-activated smart assistant.","2017/05/09"
"JPMorgan Chase made the unusual choice to forgive customers’ balances as it exits the credit card business in Canada.","2019/08/09"
"A new documentary on Netflix looks at the Cambridge Analytica scandal. And Anne Hathaway stars opposite Matthew McConaughey in “Serenity.”","2019/07/24"
"Amazon recently received an intriguing patent for an “on demand” apparel manufacturing system, which can quickly fill online orders for suits, dresses and other garments.","2017/04/30"
"“The Last Tycoon,” a nine-episode series, is the latest good-looking attempt to adapt F. Scott Fitzgerald for the screen.","2017/07/20"
