"Headlines:","Date:"
"What will people buy on Prime Day 2019? We look to previous years’ best sellers for clues.","2019/07/11"
"New data from the Brazilian space institute published Tuesday point to a surge in deforestation in the Amazon in the last quarter, fueling fears that President Jair Bolsonaro's pro-agrobusiness policies will accelerate deforestation.","aponline/2"
"Amazon’s nationwide jobs fair on Wednesday offered a vivid illustration of its ascendance and seemingly insatiable need for workers to fuel its growth.","2017/08/02"
"How can third-party sellers offer “new” books at prices below even the Amazon discount?","2017/10/12"
"The F.T.C. said that the acquisition would not harm competition. In addition, Whole Foods shareholders voted to approve the deal.","2017/08/23"
"The company introduced a wide collection of new Echo devices that are smaller, cheaper and, in some cases, built for specific areas of the home.","2017/09/27"
"Hubert Joly, Best Buy’s chief executive, has reshaped nearly every aspect of the business. He explains the playbook behind the company’s success.","2017/09/18"
"Here are the titles we think are most interesting for June, broken down by service and release date.","2018/06/01"
"The owner of an independent bookstore says it doesn’t use an algorithm to decide what to stock.","2017/06/07"
"The series from Will Packer sounds like the reverse of HBO’s “Confederate.” It will depict a separate country founded by former slaves.","2017/08/01"
