"Headlines:","Date:"
"Gabriel Iglesias stars in a new Netflix series. And Paul Dano’s directorial debut airs on Showtime.","2019/06/21"
"A documentary about a drag festival premieres on HBO. And “Captain Marvel” is on Amazon.","2019/06/18"
"John Carpenter’s 1980 movie, which hinges more on suspense than on gore, has been newly restored and is showing at the Metrograph.","2018/10/24"
"Here’s what you need to know at the end of the day.","2019/05/28"
"“The Marvelous Mrs. Maisel” returns to Amazon. And Michelle Obama speaks in an extensive interview on BET.","2018/12/05"
"Officials from the two countries are meeting this week to continue working on a truce. But neither side seems eager for a speedy resolution.","2019/07/29"
"Four California voters have sued to block a new state law aimed at forcing Republican President Donald Trump to release his income tax returns.","aponline/2"
"Deutsche Post DHL said on Tuesday it expects restructuring measures and increases in German postage and parcel prices to lift earnings in the second half of 2019,  despite rising global trade tensions.","reuters/20"
"In electing Mr. Bolsonaro, a far-right politician who becomes president on Tuesday, voters signaled a desire for radical change. It is already underway.","2019/01/01"
"Mr. Bezos and his wife, MacKenzie, made what was by far their largest political contribution to the With Honor Fund, which backs congressional candidates with military backgrounds.","2018/09/05"
