"Headlines:","Date:"
"After the online retail giant abandoned its controversial plan to open a headquarters in Queens, New Yorkers deconstructed what went wrong.","2019/02/15"
"Every month, subscription streaming services add a new batch of titles to their libraries. Here are the ones we think are most interesting for February.","2019/02/01"
"A possible headquarters in Long Island City sparked fears of subway crowding and hopes that some big ideas in transit would come to pass.","2018/11/06"
"After a yearlong search for another home, Amazon has finalized plans to split about 50,000 employees between Long Island City in Queens and Crystal City, Va.","2018/11/12"
"Many locations will receive investment from Amazon if they aren’t home to its second headquarters — and they will escape expensive incentives, too.","2018/10/25"
"Pressure applied by activists and many elected officials led to Amazon pulling out of Queens, but a political backlash may await them.","2019/02/14"
"It was a technological wonder — until the retail landscape changed and new innovation, and greedy owners, arrived.","2018/10/15"
"In Ohio, where companies like FirstEnergy and Goodyear pay no federal corporate taxes, Democrats haven’t figured out how to leverage anxiety over income inequality to defeat President Trump.","2019/04/29"
"Such a purchase could become the commerce giant’s biggest ever deal. But it would be bold gamble.","2018/11/21"
"Almost everyone had an opinion on the company’s reversal on a second headquarters in Queens.","2019/02/14"
