"Headlines:","Date:"
"The e-commerce giant, while mulling 20 finalists for its second headquarters, has kept up a “blistering” pace of expansion for technology jobs and fulfillment centers.","2018/05/01"
"In response to new sales tax rules, the company will redirect users in Australia from amazon.com to amazon.com.au. Some fear they will see less choice and higher prices.","2018/05/31"
"Here’s what you need to know to start your day.","2018/08/23"
"After Amazon’s bold threat to curtail development in its hometown, the Seattle City Council approved a smaller tax than originally envisioned. Amazon says it’s still “apprehensive” about the future.","2018/05/14"
"Maya Rudolph and Fred Armisen play a couple stuck in a routine, in an Amazon series that is anything but that.","2018/09/12"
"Technology firms have built systems that governments find attractive, but staff at those companies are less enthusiastic about sharing their know-how.","2018/06/22"
"Here’s what you need to know at the end of the day.","2018/09/04"
"The decision by the Salesforce chief executive Marc Benioff to buy Time magazine raises the question of the duty that executives have to the companies that made them rich.","2018/09/18"
"For one shop owner in Brooklyn, it’s about outlasting your competition, staying on-trend, customer loyalty, and living your passion. In his case, that’s ballroom dancing, located on the second floor.","2018/09/13"
"The move, offering memberships for $5.99 a month instead of $12.99, expands an effort to attract more shoppers with low incomes, who favor Walmart.","2018/03/07"
