"Headlines:","Date:"
"Streaming services are constantly adding new stuff to their libraries. Here are six fresh favorites.","2017/10/13"
"A week after Amazon announced plans for a second headquarters somewhere in North America, Walmart said on Friday that it is building a new home office in Bentonville.","2017/09/15"
"Asger Jorn and company’s irreverent improvisations; Brett Wallace’s dystopian workplace; and Jackie Gendel’s portraits of women, all “to be titled.”","2019/04/03"
"Amazon’s warehouses, which now employ more than 125,000 people across the United States, are being outfitted with the latest in robots and tech, but not at the expense of human jobs.","video/tech"
"To land Amazon’s second headquarters, the city is playing up its tech talent pool and infrastructure, but the cost of doing business is steep.","2017/10/18"
"The company’s $13.4 billion deal for Whole Foods is the latest signal of Amazon’s ambitions to have a hold on nearly every facet our lives — like the computer servers that power our favorite websites and the food we eat.","interactiv"
"President Trump wrongly suggested, again, that Amazon does not pay taxes. The company paid $412 million last year and collects sales taxes in all states that levy them.","2017/08/16"
"Amazon’s Kindle e-readers and tablets have been able to play music for years, and there are a few ways to move your listening library to a new device.","2017/07/06"
"New movies and TV shows are added to streaming platforms all the time. Here are the ones we think are most interesting in the coming month.","2018/02/01"
"Experts suggest we should temper expectations about the venture, which also involves JPMorgan Chase and Berkshire Hathaway.","2018/01/30"
