"Headlines:","Date:"
"New movies and TV shows are added to streaming platforms each month. Here are the titles we think are most interesting in July.","2017/06/29"
"Phoebe Waller-Bridge also has a big day, while snubs included Chuck Lorre and Julia Roberts.","2019/07/16"
"And what Amazon abandoning New York means for the city — and the country.","2019/02/21"
"Lady Gaga and Bradley Cooper’s soundtrack notched a fourth week at the top as Gunna and Offset opened strong at No. 3 and 4.","2019/03/04"
"New York Times reporters followed the exchanges and provided context around the candidates’ claims.","2019/06/26"
"Few companies have been able to keep Amazon at bay after it decides to target a new market. Zalando, Europe’s biggest online fashion retailer, is the latest to try.","2016/12/16"
"Europe's largest property firm Unibail-Rodamco Westfield raised its full-year earnings guidance on Wednesday after reporting strong first-half growth in tenant sales at its flagship European and American retail centres.","reuters/20"
"“The Nun” airs on HBO. And Christina Applegate stars in “Dead to Me,” a dark comedy on Netflix.","2019/05/03"
"“When people have something to say, they come to Medium, where they can say it at length,” a spokeswoman for the online platform said.","2019/02/08"
"Google and Amazon have thrived as regulators largely kept their distance. Moves by the Justice Department and the F.T.C. suggest that may be changing.","2019/06/03"
