"Headlines:","Date:"
"The Taushiro tribe vanished into the jungles of the Amazon basin in Peru generations ago. Amadeo García García is now the last native speaker of their language.","2017/12/26"
"The American company’s local partner tells customers not to offer ways to dodge China’s internet filters, as a new cybersecurity law takes effect.","2017/08/01"
"Fifty years ago, humans set foot on the moon. These documentaries and feature films try to put that and other real-life space missions into context.","2019/07/19"
"At physical bookstores like the new one opening in Manhattan this week, the company is drawing on its vast troves of customer data to shape the design.","2017/05/24"
"It’s not Lyft or Didi Chuxing or another ride-hailing firm. Instead, Uber sees itself as the Amazon of transportation.","2019/04/28"
"The next jobs set to disappear may be ones that are a bigger part of people’s daily lives: retail workers and cashiers in stores and restaurants.","2017/06/17"
"Members of a unit struggling to curb the jungle’s destruction include an environmental activist, an Arctic oceanographer and a science teacher.","2017/04/06"
"Ms. Warren seeks to break up companies like Amazon, Google, Apple and Facebook. And she has taken her fight to Silicon Valley.","2019/06/26"
"A longtime approach of making bold — and sometimes head-scratching — moves has brought Jeff Bezos staggering success.","2017/06/17"
"A proposed exception to the celibacy requirement would apply only in remote areas of the Amazon, but it is a significant shift in church policy.","2019/06/17"
