"Headlines:","Date:"
"The bidders came from 43 U.S. states, as well as Canada and Mexico. Amazon says the project will create 50,000 jobs, and that the winner will be announced next year.","2017/10/23"
"“Increasingly, if you win on Amazon, you win, period,” a beverage executive says.","2017/07/31"
"Apple reported record profit and sales, Amazon easily beat expectations, and Google-parent Alphabet posted a loss because of the new tax law.","2018/02/01"
"Watch the movies discussed in The New York Times’s recent roundtable, and a few others from a golden age for black auteurs in Hollywood.","2019/07/11"
"If the judgment of investors is any guide, Ross Stores, Home Depot and AutoZone may have the wherewithal to withstand the e-commerce titan, which just swallowed Whole Foods.","2017/08/28"
"The company already has one of the most spectacular records in stock market history, enriching investors and making its founder a wealthy man.","2017/07/28"
"Here’s what you need to know to start your day.","2018/01/19"
"Here’s what you need to know to start your day.","2018/01/22"
"The defense secretary said he wants to study the deal, which had been expected to go to Amazon. President Trump had earlier raised concerns.","2019/08/01"
"Toronto is the only city outside the United States on Amazon’s list. Its mayor credited Canada’s open approach to immigration and strong support for education.","2018/01/18"
