"Headlines:","Date:"
"Rachelle Lefevre is the head of a law firm specializing in reversing wrongful convictions in a Fox drama. And an Amazon series revisits Lorena Bobbitt.","2019/02/15"
"“Kinky Boots” hits BroadwayHD. And the most recent James Bond film airs on FXM.","2019/07/15"
"A new adaptation of William Makepeace Thackeray’s novel is on Amazon Prime. And a cast of big names is assembled in “Life Itself.”","2018/12/21"
"Pharmaceutical delivery apps like Capsule offer an alternative to drugstores. Whether they could spell the end to commercial chains is up for debate.","2019/04/05"
"Cardi B, Lil Nas X and others perform at the BET Awards. And the well-received Todd Douglas Miller documentary about Apollo 11 airs on CNN.","2019/06/23"
"The couple were introduced in February 2017 through the League, a dating app.","2019/04/21"
"Here’s what you need to know at the end of the day.","2019/06/17"
"Plaintiffs argued that the technology giant had used its monopoly power to raise the prices of iPhone apps.","2019/05/13"
"The recent, reimagined “Robin Hood” airs on HBO. And stream “Ben Is Back,” with Julia Roberts and Lucas Hedges, on Hulu.","2019/07/11"
"Two new shootings have forced some businesses to reflect on what they can do.","2019/08/05"
