"Headlines:","Date:"
"Amazon finally provided some details about its plan to open a hub in Long Island City, including tax subsidies and other benefits.","2018/11/13"
"Every month, subscription streaming services add a new batch of titles to their libraries. Here are the ones we think are most interesting for January.","2019/01/01"
"The new service is aimed at anyone who doesn’t want to risk a package being stolen from a porch and can’t receive an order at work.","2018/04/24"
"More than two dozen civil rights organizations asked the tech giant to stop selling its image recognition system to law enforcement agencies.","2018/05/22"
"Among the items for sale on the site were Nazi-themed action figures and onesies for babies stamped with alt-right images, the report said.","2018/07/08"
"Profit-sharing plans for rank-and-file employees are vanishing as corporate America has adopted a new approach toward who reaps a healthy company’s gains.","2018/10/23"
"With big ambitions in India, the retail giant has recruited hundreds of small businesses to get packages to the most remote customers — including those 11,562 feet up in the Himalayas.","2018/07/02"
"The push by the online retail giant highlights the seismic shifts happening in the world of entertainment, as digital outlets compete for eyeballs with traditional broadcasters.","2018/06/07"
"Many of Amazon’s opponents have struggled for years to be heard. Now they have the country’s most powerful bullhorn — President Trump — on their side.","2018/04/22"
"As concerns about growth and privacy issues took a toll, technology and banking stocks led a slide in Europe, and futures indicated that markets in the United States could follow.","2018/11/19"
