"Headlines:","Date:"
"The actress and singer, known for her wholesome, sunny screen presence, died on Monday.","2019/05/13"
"The couple met in 2011 while playing in Washington on the same team in an adult kickball league.","2019/08/11"
"With all the demands and stresses of modern life, carving out a two-hour chunk of the day isn’t always possible. Amazon Prime has a handful of excellent films of all kinds, from terrifying to adorable, that run at under an hour and a half.","interactiv"
"The errors also affected businesses that rely on Google’s technology. Google said the problems were not caused by a cyberattack.","2019/06/02"
"Here’s what you need to know to start your day.","2017/08/03"
"“Saturday Night Live” Season 44 comes to an end. And “Fleabag” is back on Amazon Prime Video.","2019/05/18"
"The grocery-store industry now faces, in addition to overseas competitors, a deep-pocketed rival with a track record of moving customers online.","2017/06/16"
"The bookstore chain’s future was the subject of speculation for months before the hedge fund said it would buy it for $638 million.","2019/06/07"
"Senator Elizabeth Warren has an interesting plan for reform. But it has shortcomings worth considering.","2019/03/13"
"The unveiling of the first ever image of a black hole tapped into a longstanding fascination. Where did that come from? In part, from movies like these.","2019/04/10"
