"Headlines:","Date:"
"Brazil's government does not expect an international boycott of Brazilian products due to increasing deforestation in the Amazon rainforest basin, presidential spokesman General Otavio Rego Barros said on Wednesday.","reuters/20"
"Amazon Wardrobe, part of the Prime service and part of the company’s effort to expand in apparel, will let customers order three to 15 items of clothing without buying it.","2017/06/20"
"Jerrod Carmichael’s short, quiet documentary is streaming on HBO platforms.","2019/05/15"
"A handful of companies already dominate the market for digital assistants. The implications for consumer privacy are a serious concern, researchers say.","2019/06/14"
"Apple Inc and Alphabet Inc's Google have globally suspended reviewing recordings from users interacting with their voice assistants, as concerns over data privacy mount.","reuters/20"
"There are dozens of communities that continue to live completely off the grid, mostly in the Amazon, where drug traffickers, miners and ranchers threaten them.","2018/11/30"
"Is tech really the solution to student safety?","2019/07/02"
"Every month, subscription streaming services add a new batch of movies and TV shows to their libraries. Here are the titles we think are most interesting for October.","interactiv"
"President Jair Bolsonaro threatened on Thursday to dismiss officers at the Brazilian agency that monitors deforestation in the Amazon over its publication of data he disagrees with.","aponline/2"
"If Walmart wants to make a rival bid for Whole Foods, it will need to overcome strategic and financial obstacles. For now, Amazon has the upper hand.","2017/06/19"
