"Headlines:","Date:"
"An engineer in Seattle was charged with stealing the information of millions of customers from Capital One. The incident was surprisingly common.","2019/07/30"
"The announcement comes amid a rising backlash to cashless stores, and new laws against them in New Jersey and Philadelphia.","2019/04/25"
"Mr. Jenkins, the filmmaker behind “Moonlight,” will write and direct this series based on Colson Whitehead’s award-winning novel.","2017/03/27"
"A wide range of companies are lining up to complain about Silicon Valley’s power as lawmakers and regulators step up their scrutiny of Big Tech.","2019/06/10"
"A documentary looks at a rivalry between competitive eaters. And Fritz Lang’s “Metropolis” airs alongside one of its forebears.","2019/07/02"
"A newspaper is reporting that the German government plans to stop supporting forest and biodiversity projects in Brazil because of what it sees as evidence of the South American country's lack of commitment to curbing deforestation in the Amazon r...","aponline/2"
"A former corporate lawyer has a radical proposal for curbing corporate America’s excesses, even if it means more legal fights for his onetime clients.","2019/07/30"
"Uber, Lyft and others going public this year are more established than their tech counterparts from the late 90s, but as some see slowing growth, there are questions about where they go from here.","interactiv"
"J. David Goodman, a metro reporter, has chronicled the Google and Amazon invasions. But the most effective technology for reporting on the city is still coffee.","2019/05/01"
"The European Commission said it would take Ireland to court for not clawing back billions from Apple, and ordered Luxembourg to recover around $293 million from Amazon.","2017/10/04"
