"Headlines:","Date:"
"Pay-TV software maker Synamedia, supplier to Comcast's Sky and AT&T's Direct TV, believes the pay-TV market will continue to grow despite the rise of streaming services such as Netflix and Amazon Prime Video.","reuters/20"
"Both the gourmet grocer and the rarefied department store made shopping feel like art. Now they are in financial free-fall. Does it matter?","2019/08/08"
"Everything you need to know from Season 1, just in time for the long-awaited Season 2.","2019/05/15"
"Here’s what you need to know at the end of the day.","2019/08/07"
"In 2018, there were some early glimmers that corporate America is realizing bigger isn’t always better.","2018/12/21"
"This stock market rally hasn’t been as intense as many others that preceded it.","2019/03/09"
"New satellite data reveals that the world’s tropical forests lost roughly 39 million acres of trees last year — an area the size of Bangladesh. ","2018/06/27"
"A new Galeries Lafayette branch on the Champs-Élysées is just the most recent effort by Parisian department stores to go from dusty to daring.","2019/03/06"
"Looking for something tender, retro or hands-on? Look no further than these three TV recommendations.","2019/06/20"
"At $45 a share, the company became the third largest for a firm going public on an American exchange.","2019/05/09"
