"Headlines:","Date:"
"It wasn’t a new thing, for the president to go after the Amazon founder. But it was odd to see him making nice with his onetime friend David J. Pecker.","2019/01/14"
"Pursuit, a nonprofit jobs training program in Queens, is finding success at moving low-income New Yorkers into well-paying jobs.","2019/03/15"
"Here’s what you need to know.","2019/07/10"
"Google Home and Amazon Echo don’t carry paid advertising, so companies are trying more creative ways of using them to reach consumers.","2018/12/02"
"A six-part drama series wraps up on TNT. And a new special about a Michael Jackson documentary airs on HBO.","2019/03/04"
"The legislation, which is on the governor’s desk, would surcharge businesses like Microsoft and Amazon that rely on highly skilled workers.","2019/05/08"
"Fractures are growing among both Democrats and Republicans.","2019/02/19"
"Last year’s live action Winnie the Pooh tale hits Netflix. And Sandra Bullock and Melissa McCarthy are buddy cops in “The Heat,” on FX.","2019/03/06"
"Chiwetel Ejiofor’s directorial debut hits Netflix. And a new action series, “The Widow,” is streaming on Amazon.","2019/03/01"
"The executive producers of CNN’s Decades series tackle cinema, and Starz’s time-travel love story is available to stream on Netflix.","2019/07/07"
