"Headlines:","Date:"
"The Senate has tapped a vocal critic of Amazon, State Senator Michael Gianaris of Queens, to sit on a state board that could kill the deal.","2019/02/04"
"A key document from New York City’s bid for the company’s second headquarters disappeared from a city website. But we found it anyway.","2018/12/18"
"The company, long accustomed to deferential treatment from localities, badly misjudged how it would be received in the city, according to dozens of interviews.","2019/02/15"
"Gov. Andrew M. Cuomo called the deal’s collapse “the greatest tragedy” for New York, and he put the blame on Senate Democrats.","2019/02/22"
"Economists have long criticized tax breaks to corporations; politicians and the public may be starting to share their skepticism.","2019/02/14"
"The sites — dozens in more than 20 states — are shutting down even as Amazon is otherwise expanding its physical retail presence with stores like Amazon Go and Whole Foods.","2019/03/06"
"The company is looking to improve its relationships in the city after the mostly disastrous rollout of its plans for a corporate campus in Queens.","2019/01/29"
"Our shopper visits the new Amazon 4 Star store, which stocks items with customer review ratings of four stars or better. Brick and mortar never had it so rough. ","2018/11/28"
"In terms of economic, political and cultural impact, the finance industry dominates. But tech is gaining fast, and is where much of the growth is.","interactiv"
"New Yorkers who expected better bought into the myth that tech companies are more than just self-interested businesses.","2019/02/15"
