"Headlines:","Date:"
"The town of Fordlândia, founded in 1928 by Henry Ford, stands as a crumbling testament to the folly of trying to bend the jungle to the will of man.","2017/02/20"
"Amazon’s new Echo Show includes a touch screen and the ability to ask Alexa, its voice-activated assistant, to make video or voice calls over a Wi-Fi connection.","2017/05/09"
"The tech billionaire argues that the company is selling an advanced military technology, artificial intelligence, to America’s main rival.","2019/08/02"
"Revisit Quentin Tarantino’s 2009 war movie ahead of a new release. Or watch a crime documentary on HBO.","2019/07/23"
"Deap Ubhi has spent his tech career bouncing around. Now he’s tangled up in a little battle over one of the biggest government I.T. contracts in history.","2019/03/20"
"The company still trails in its effort to compete with Amazon, but the growth is a sign that it is making headway in its online presence.","2017/05/18"
"New movies and TV shows are added to streaming platforms each month. Here are the titles we think are most interesting in October.","2017/10/01"
"UniCredit has found no evidence so far of any customer data having been accessed or compromised in relation to a major data breach at Capital One Financial Corp, the bank said in a memo to staff on Thursday.","reuters/20"
"For years, impostors have been posing as members of the military to bilk people out of money. Why has Facebook been unable to stop them?","2019/08/02"
"The rater has become the rated.","2019/04/19"
