"Headlines:","Date:"
"A video rental store that is believed to be among one of the last of its size on the East Coast is set to close in Virginia.","aponline/2"
"David Benioff and D.B. Weiss agreed to a deal that will have them creating new TV shows and films for the streaming giant.","2019/08/07"
"A darkly humorous new series is like “Mr. Robot” redone as a whimsical farce","2017/02/23"
"French farming minister Didier Guillaume said on Tuesday U.S. President Donald Trump's threat to tax French wines was ""completely moronic"".","reuters/20"
"The 33-year-old former Amazon software engineer accused of hacking Capital One made little attempt to hide her attack. In fact, she effectively publicized it.","aponline/2"
"Here’s what you need to know to start your day.","2017/09/07"
"Plus, where should police departments draw the line with facial recognition surveillance?","2019/08/03"
"As the 50th anniversary of the moon landing approaches, these movies, television shows and podcasts help shine a light on the story.","2019/07/03"
"","aponline/2"
"The most recent “The Fast and the Furious” movie airs on FX. And a mini-series on SundanceTV looks at an unsolved case of vigilante justice.","2019/08/01"
