"Headlines:","Date:"
"After community backlash, Amazon has decided not to move forward with its plan to open a headquarters in Long Island City, Queens. Here’s a look at what happened.","video/nyre"
"The financial details of the split are sure to be complicated, though the world’s richest man and his wife of 25 years vow to “remain cherished friends.”","2019/01/09"
"Amazon and opponents of its new offices appeared to raise the specter that the deal that would bring 25,000 jobs to Queens is not yet finalized.","2019/01/30"
"Support for scrutiny of the tech giants is coming from across the political spectrum. For Google and Amazon, any investigations would be a major distraction, or worse.","2019/06/02"
"“Where there is indigenous land,” newly elected President Jair Bolsonaro has said, “there is wealth underneath it.”","2018/11/10"
"Sometimes it’s worth pausing to ask the simplest questions.","2019/06/04"
"And is President Trump actually good for the Republican Party?","2018/11/15"
"Technology publications are asking pointed questions about the online retail company. And Apple had rare, surprising bad news about sales.","2019/01/04"
"The retail behemoth is laying the groundwork to penetrate Brazil’s huge consumer market, analysts say. Success won’t come easy.","2018/12/27"
"It was supposed to be one of the biggest business projects in recent years in New York City.","2019/02/15"
