"Headlines:","Date:"
"Amsterdam-based Takeaway.com and British rival Just Eat have finalised the terms of their deal to create a global food delivery company that can rival Uber Eats as the largest outside China.","reuters/20"
"Brazil’s ecotourism is unregulated and out of control.","2017/04/20"
"Shareholders are expected to approve a $13.4 billion bid. At a conference in Wyoming, neither Janet Yellen, the Fed chairwoman, nor Mario Draghi, president of the European Central Bank, is expected to address policy.","2017/08/20"
"An error at an Amazon data center in Virginia caused chaos for a number of websites. The mistake offers a lesson on dependency.","2017/03/13"
"Amazon might have been the center of a new tech ecosystem in Queens. Here’s what the city can do next.","2019/02/20"
"Learn about an unusual cult that never existed in Season 3 of “Documentary Now!” And revisit “The Incredibles” on Freeform.","2019/02/20"
"French demands and a fear of the new company being seen as politically influenced reportedly caused the deal to crash.","2019/06/06"
"Corrections appearing in print on Saturday, May 11, 2019.","2019/05/10"
"There’s a reason that logging off is very important to Amanda Hess, a critic at large who covers the internet and the culture it creates.","2019/07/24"
"For decades, antitrust regulation has focused on the welfare of the consumer. Now a backlash over Big Tech’s power has regulators and scholars trying to reverse years of established doctrine.","2019/06/20"
