"Headlines:","Date:"
"As New York reels from the company’s withdrawal, the State Senate’s newly empowered Democrats are facing the first major test of their leadership.","2019/02/15"
"Gov. Andrew M. Cuomo increased pressure on critics of the planned campus in Queens as executives inside the company chafed at new roadblocks.","2019/02/08"
"Based on Neil Gaiman and Terry Pratchett’s comic fantasy novel, the story finally makes it to the screen.","2019/05/31"
"A series of hearings on Capitol Hill showed the rising force of the political backlash against the country’s tech giants.","2019/07/16"
"Labor groups aiming to organize a Staten Island warehouse were in talks with the company a day before it abandoned plans for a Queens headquarters.","2019/02/14"
"We’ve plucked out 100 of the absolute best movies included with a Prime subscription right now. Take a look.","interactiv"
"Amazon filed a motion saying the company was “justified in terminating its relationship with Allen.”","2019/04/03"
"Eric Ulrich, one of two Republicans among 17 candidates for public advocate, may be well positioned to gather votes among those angry at Amazon’s exit.","2019/02/19"
"Wall Street has dominated New York’s economy for too long. Amazon’s HQ2 is a huge opportunity to diversify.","2018/11/16"
"The company wants its voice assistant to become a bigger part of more people’s lives.","2019/03/03"
