"Headlines:","Date:"
"For our project on the future of movies, the producer foresees his horror films living on in theaters, but something like his Oscar-winning “Whiplash”? Nope.","2019/06/20"
"A Metropolitan Opera production airs on PBS. And Alejandro G. Iñárritu’s “The Revenant” brings operatic intensity to FXM.","2019/03/24"
"“The Great Silence,” one of the best genre films of that year, is arguably the director’s masterpiece.","2018/12/28"
"The latest installment in the “Fantastic Beasts” series airs on HBO. And a British thriller’s second season arrives on Hulu.","2019/07/13"
"As Alphabet prepares to report quarterly earnings, investors will largely remain in the dark about one of its most important businesses.","2019/07/24"
"“To qualify, all a candidate needed was to poll at 1 percent or higher,” the “Tonight Show” host said. “That’s it? One percent? I mean, even O.J.’s at 2 percent.”","2019/06/27"
"We asked Andrew Yang 18 questions on subjects including climate change and border control, fast food and personal humiliation.","interactiv"
"Love blossoms through the cold in “Winter Castle,” and sink your teeth into “Twilight.”","2019/01/05"
"Studies have shown that facial recognition software can return more false matches for African-Americans than for white people, a sign of what experts call “algorithmic bias.”","2019/07/08"
"Images of the Starlink constellation in orbit have rattled astronomers around the world.","2019/06/01"
