"Headlines:","Date:"
"The retail giant winnowed a list of more than 238 applicants to just 20 on Thursday, including two cities in the metropolitan New York area.","2018/01/18"
"The decision comes as European authorities consider a raft of proposals aimed at increasing the amount of tax paid by American technology companies.","2017/10/03"
"Wall Street would probably have pummeled any other retailer that turned in the kind of performance Amazon reported Thursday: profits that were less than a third of what analysts had expected.","2017/07/27"
"To understand why Jeff Bezos bought Whole Foods, look at the profit margins Apple generates at its stores.","2017/06/20"
"Let’s skip the nationwide bidding war and cut right to the winner.","interactiv"
"The Amazon series, now in its fourth season, carries on a tradition of hard-boiled Los Angeles cop shows that stretches back to “Dragnet.”","2018/04/13"
"The American tech behemoth may be seeking to tailor its widely used voice recognition system to an Australian audience.","2017/07/26"
"The three companies will create a new venture with the goal of simplifying coverage for their employees, in a move that unsettled the health care world.","2018/01/30"
"Drama, Joan Didion and a return to the Upside Down: This weekend brings the goods.","2017/10/27"
"A British television news report said that the online retailer’s algorithms were automatically offering items that could be used to create an explosive device.","2017/09/20"
