"Headlines:","Date:"
"And a discussion of how Facebook is harnessing artificial intelligence — well, almost — to take on “hard questions.”","2017/06/17"
"Two tech reporters analyze the week’s big tech news, including Uber’s surprising new C.E.O. and how Amazon might change Whole Foods.","2017/09/01"
"RIB Software is open for talks with potential long-term investors that could help the German construction IT developer roll out its digital strategy, Chief Executive Thomas Wolf told business daily Handelsblatt. ","reuters/20"
"Amazon is trying, starting with a new Jim Gaffigan set. So is HBO, though it’s more niche with acts like Julio Torres. And don’t count out YouTube.","2019/08/09"
"A new FX series recreates the professional and personal relationship between Bob Fosse and Gwen Verdon. Here are some of the onscreen highlights from their careers.","2019/04/09"
"The streaming wars are heating up and the phone giant’s new service will have “Friends” exclusively.","2019/07/09"
"The newest versions of Amazon’s tablets, starting at $50, are unabashedly slow and unflashy, but just capable enough to be worth the cheap price.","2017/06/06"
"Antitrust is the nuclear bomb of regulatory moves, but at a moment when nearly everything in America seems contentious, proposals to break up internet giants are gaining support.","2019/03/17"
"Piracy is a growing menace on the rivers of the Amazon. Join the antipiracy police force on a patrol.","video/worl"
"The grocery chain’s “Whole Paycheck” reputation doesn’t appear to be threatened.","2019/04/03"
