"Headlines:","Date:"
"Quotation of the Day for Saturday, February 16, 2019","2019/02/15"
"The surprise change would allow the company to tap into the talent pools of two different regions.","2018/11/05"
"Site details? Incentives? Much of the process has been secret, and local officials and developers signed nondisclosure agreements.","2018/11/07"
"The online retailer will make products from its main website available, reversing a decision that angered its customers earlier this year.","2018/11/21"
"Plus, tax season brings bad news, and the Fed offers more clues about its change of heart.","2019/02/16"
"The auction site said it was tipped off to the situation by an eBay seller who had been contacted by Amazon.","2018/10/03"
"Here’s what you need to know at the end of the day.","2019/02/14"
"Yes, Amazon’s departure will modestly hurt the city’s economy. But it’s also a victory against bad economic policy.","2019/02/17"
"Tech companies and their employees love big cities, but Amazon needs to do better for people who live in any city chosen for its second headquarters.","2018/11/06"
"Eager candidates offered name changes, helipads and even cactuses to entice the company into setting up shop. ","2018/11/14"
