"Headlines:","Date:"
"The battle to sell men’s shirts and food, and just about everything else, is a competition that will define the future of retail.","2017/06/16"
"Chico Mendes’s murder in 1988 became a turning point in Brazil’s environmental consciousness, and after it, a global movement to save the Amazon gained impetus.","2016/11/27"
"Jemaine Clement and Taika Waititi bring funny vampires to FX. And Reinaldo Marcus Green’s “Monsters and Men” is streaming on Hulu.","2019/03/27"
"Privacy worries have long surrounded the technology. Here’s a look back.","2019/05/15"
"“Baskets” returns to FX for a fourth season. And “Vice,” with Christian Bale as Dick Cheney, is on Hulu.","2019/06/13"
"Mischa Barton joins the MTV reality show, and Netflix’s time travel crime thriller returns.","2019/06/24"
"Martin Scorsese’s new Bob Dylan documentary debuts on Netflix. And on Syfy, “Krypton” returns for a second season.","2019/06/12"
"Here’s what you need to know.","2019/06/23"
"The couple met on a dating app in 2016 and had their first date at Maialino, a restaurant in New York.","2019/07/28"
"The romance novelist Cristiane Serruya has been accused of copying passages from dozens of writers.","2019/04/24"
