"Headlines:","Date:"
"Martin Scorsese’s white-collar crime tale airs on FXM. And a Netflix series turns San Francisco into a martial arts battleground.","2019/08/08"
"What we found shows the technology’s promise — and perils.","interactiv"
"The film director worked often with Hollywood greats like Gene Kelly and Audrey Hepburn.","2019/02/23"
"Let us now praise a famous Master of the Internet, who has changed the way we live — and isn’t done yet.","2017/05/15"
"Amazon and Google are aggressively opening offices outside of their Silicon Valley and Seattle hometowns. On Thursday, Apple said it would invest $1 billion in Austin, Tex.","2018/12/13"
"Internet users on the Chinese mainland have blacklisted popular bubble tea brands from Taiwan after a Hong Kong franchise urged solidarity with street protesters in the Asian financial hub.","reuters/20"
"The maybe-final episodes of “Arrested Development” hit Netflix. And a new documentary about Richard Pryor airs on TV.","2019/03/15"
"Julio Torres shares the stories of inanimate objects in a new special. And Matthew McConaughey plays a stoner poet in “The Beach Bum,” now on Hulu.","2019/08/10"
"This week Air Canada announced that it will buy Montreal-based Air Transat. The move will give it 60 percent of Canada’s trans-Atlantic market.","2019/06/28"
"“David Bowie: Finding Fame” airs on Showtime. And stream a Kurt Weill opera on BroadwayHD.","2019/08/09"
