"Headlines:","Date:"
"Jennifer Salke, who championed shows like “This Is Us,” will succeed Roy Price, who was forced out in October after a sexual harassment allegation.","2018/02/09"
"Amazon has surprised officials in cities vying for the company’s new headquarters by asking how to avoid soaring housing costs and paralyzing traffic.","2018/04/29"
"Brazil is backpedaling on its protections of uncontacted tribes.","2017/09/23"
"To create a Super Bowl snack, we bought the same ingredients at a new Whole Foods 365 store and a Walmart. The prices were different. So were the outcomes. ","2018/02/02"
"Higher shipping costs are a reason Amazon is raising the cost of Prime membership to $119 a year from $99. But a 20 percent hike could turn customers off.","2018/04/27"
"Those who resist powerful industries that savage ecosystems and drive people off their land face death and fear.","2019/08/01"
"Amazon does not disclose its total compensation expense, but its disclosure of median pay provides some insight on the impact of paying its employees more.","2018/04/23"
"Here’s what you need to know at the end of the day.","2018/07/16"
"The e-commerce giant has won two patents for a tracking technology that can nudge a human hand in the right direction — toward a warehouse bin, say.","2018/02/01"
"The tech giants singled out booming results from their devices in their quarterly financial results.","2018/02/01"
