"Headlines:","Date:"
"Brazil's government does not expect an international boycott of Brazilian products due to increasing deforestation in the Amazon rainforest basin, presidential spokesman General Otavio Rego Barros said on Wednesday.","reuters/20"
"Brazilian President Jair Bolsonaro on Wednesday said satellite data regarding deforestation of the Amazon rainforest collected by government space research agency INPE would be ""compiled"" to reach more exact numbers.","reuters/20"
"Whodunit? The government, of course, in a British thriller that follows in the hallowed footsteps of “Edge of Darkness” and “State of Play.”","2017/10/26"
"Google said it would acquire Looker for $2.6 billion in a bid to catch rivals in the cloud-computing industry.","2019/06/06"
"","aponline/2"
"Amazon briefly shares topped $1,000 on Tuesday. The milestone comes as Jeff Bezos’ company expands beyond e-commerce into cloud computing and entertainment.","2017/05/30"
"Katie Thomas, who covers health care, has chronicled how the technology disruption in her field has raised questions that are still unanswered.","2019/08/07"
"America continues to undermine Chinese access to U.S. technology. That could loom over impending talks between President Trump and President Xi Jinping of China.","2019/06/24"
"In Britain, Amazon has collaborated with the National Health Service to provide medical advice through Alexa. A health official said the feature could help reduce the strain on doctors.","video/embe"
"Over the years, the online giant has picked off different retail businesses, from books to electronics. Now apparel sellers are starting to succumb.","2017/04/30"
