"Headlines:","Date:"
"New movies and TV shows are added to streaming platforms all the time. Here are the ones we think are most interesting in the coming month.","2018/01/02"
"The agency said it would look into concerns about anticompetitive behavior by some of the industry’s biggest companies.","2019/07/23"
"Also: Barneys files for bankruptcy, and more of the week’s top stories in business and tech.","2019/08/11"
"","aponline/2"
"Investigators are looking into reports that around 10 tribe members died when they were set upon by gold miners.","2017/09/10"
"Isabella Kwai, a reporter in Australia, rarely takes notes on paper anymore and instead uses her iPhone. She can still look sources in the eye while typing.","2019/02/20"
"Amazon agreed to buy the grocery chain Whole Foods for $13.4 billion.","2017/06/20"
"“The Store,” at No. 4 after three weeks on the hardcover fiction list, features a married couple at war with a dominant online retailer.","2017/09/08"
"“These two innovators will merge the ideals of conscious capitalism and wicked efficiency,” one reader says. Others are less enthusiastic.","2017/06/25"
"Amazon’s annual deals blowout, Prime Day, is back again — but not all the deals are worthwhile. Luckily, we can help.","2017/07/10"
