"Headlines:","Date:"
"Researchers identified 2,312 illegal mining sites in six nations, and highlighted their toxic effects. Activists fear that Brazil’s new president will encourage even more mining.","2018/12/10"
"The governor of New York has called Mr. Bezos and other Amazon executives to persuade them to resurrect their plan to build a campus in Long Island City.","2019/02/28"
"A preview of the film.","video/embe"
"Is it O.K. to shop on Amazon for everything and still not want one of the world’s richest companies to invade Queens?","2018/11/14"
"The battle over Amazon’s New York plans resurfaced tensions among unions over how to deal with Uber, Airbnb and other emerging giants.","2019/02/22"
"The company is compensating for slowing growth in e-commerce by expanding its fast-moving, highly profitable cloud and advertising businesses.","2019/01/31"
"The Amazon series based on Michael Connelly’s Los Angeles detective novels returns for a fifth season of unadorned police work.","2019/04/19"
"Amazon’s power is even more pronounced in the nail-biter sprint toward Christmas. A two-decade obsession with delivery speed has given it a huge edge.","2018/12/21"
"The designer on bongs, white jeans and his new get-it-quickly collection, Now House.","2018/11/14"
"State Senator Michael Gianaris was nominated to a state board that could vote to scuttle a deal to bring Amazon to his district in Queens.","2019/02/05"
