"Headlines:","Date:"
"The corporate giant has hired well-connected lobbyists to convince lawmakers and residents of the benefits of its new hub in Long Island City.","2018/12/11"
"Every month, subscription streaming services add a new batch of titles to their libraries. Here are the ones we think are most interesting for August.","2019/08/01"
"Two days into a strike by antiquarian booksellers against the Amazon unit AbeBooks, the company capitulated.","2018/11/07"
"The Long Island City site was designated as an “opportunity zone,” an incentive created by President Trump’s tax bill to help low-income areas attract investment.","2018/11/14"
"Cyber Monday is a big day for online retailers, particularly Amazon, which just announced that it was expanding in Queens. Critics are mobilizing.","2018/11/26"
"Crystal City, a declining neighborhood in Arlington, Va., cheered Amazon’s arrival on Tuesday. It’s getting a new name — National Landing — to go along with its victory.","2018/11/13"
"The deal reached between Gov. Andrew M. Cuomo, Mayor Bill de Blasio and Amazon was constructed to blunt the veto power of local politicians.","2018/11/15"
"“A Rainy Day in New York,” starring Timothée Chalamet and Elle Fanning, will be released in Italy on Oct. 3. German and Spanish distributors have confirmed they are releasing it.","2019/05/09"
"A task force concluded that package delivery, including for the online retailer, was subsidizing other parts of the service. But its report included recommendations that made online retailers uneasy.","2018/12/04"
"Apple became the first public company to be worth $1 trillion. Amazon hit the same milestone a month later, but the reasons for the e-commerce titan’s rise are more complicated.","2018/09/04"
