"Headlines:","Date:"
"The grocer will give large discounts for some products, and 10 percent off hundreds of sale items in stores.","2018/05/16"
"Amazon now collects sales tax in every state that has one, but a report finds that the company still doesn’t collect local taxes in dozens of cities.","2018/03/25"
"Quotation of the Day for Saturday, July 21, 2018.","2018/07/20"
"Kimmel responded to public criticisms that the president has leveled at Amazon over the past few days.","2018/04/04"
"Many economists see deals offering tax breaks to attract corporate sites as inefficient, expensive and ultimately ineffective.","2018/01/26"
"The biggest companies may be influencing things like inflation and wage growth, possibly at the expense of central bankers’ power to do so.","2018/08/25"
"The errors emerged as part of a test by the A.C.L.U. that compared the photos of all federal lawmakers against a database of 25,000 publicly available mug shots.","2018/07/26"
"The 73-year-old star of Jill Soloway’s Emmy-winning series will not return to the role that brought him late-career plaudits.","2018/02/15"
"If the Trump administration pursues ways to curtail the company, it would meet sizable obstacles.","2018/03/29"
"A pilot program will pick up goods and move them to Amazon warehouses. It could expand over time into more of a threat to established delivery companies.","2018/02/09"
